Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2016","2016","tonnes","92101084","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2017","2017","tonnes","98523159","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2018","2018","tonnes","102391170","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2019","2019","tonnes","104045528","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2020","2020","tonnes","105971127","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1961","1961","tonnes","12859873","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1962","1962","tonnes","11735312","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1963","1963","tonnes","11527531","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1964","1964","tonnes","10301900","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1965","1965","tonnes","12073700","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1966","1966","tonnes","9802200","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1967","1967","tonnes","8665700","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1968","1968","tonnes","11957300","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1969","1969","tonnes","10567100","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1970","1970","tonnes","12085700","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1971","1971","tonnes","11442300","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1972","1972","tonnes","10808500","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1973","1973","tonnes","10824300","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1974","1974","tonnes","9506000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1975","1975","tonnes","10591700","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1976","1976","tonnes","12715700","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1977","1977","tonnes","11617900","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1978","1978","tonnes","11734000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1979","1979","tonnes","11531700","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1980","1980","tonnes","9167100","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1981","1981","tonnes","10828000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1982","1982","tonnes","11329500","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1983","1983","tonnes","12495900","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1984","1984","tonnes","12505700","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1985","1985","tonnes","11976500","E","Estimated value"
