Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1997","1997","tonnes","93782343","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1998","1998","tonnes","98503241","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1999","1999","tonnes","118405248","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2000","2000","tonnes","125738601","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2001","2001","tonnes","136214596","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2002","2002","tonnes","145258891","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2003","2003","tonnes","147625709","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2004","2004","tonnes","155367939","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2005","2005","tonnes","162497586","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2006","2006","tonnes","171491674","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2007","2007","tonnes","170923824","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2008","2008","tonnes","181741852","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2009","2009","tonnes","189065653","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2010","2010","tonnes","197934538","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2011","2011","tonnes","207447296","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2012","2012","tonnes","217368805","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2013","2013","tonnes","224308142","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2014","2014","tonnes","229819829","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2015","2015","tonnes","231861644","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2016","2016","tonnes","233125123","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2017","2017","tonnes","237850002","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2018","2018","tonnes","238729003","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2019","2019","tonnes","248383733","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","2020","2020","tonnes","245452797","E","Estimated value"
